Machine types,vCPU,Memory (GB),Description,Workloads
n2d-highcpu-48,48,48,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-64,64,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-80,80,80,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-96,96,96,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-128,128,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highcpu-224,224,224,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-2,2,16,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-4,4,32,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-8,8,64,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-16,16,128,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-32,32,256,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-48,48,384,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-64,64,512,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-80,80,640,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n2d-highmem-96,96,768,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-1,1,3.75,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-2,2,7.5,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-4,4,15,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-8,8,30,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-16,16,60,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-32,32,120,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-64,64,240,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-standard-96,96,360,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highcpu-2,2,1.8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highcpu-4,4,3.6,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highcpu-8,8,7.2,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highcpu-16,16,14.4,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highcpu-32,32,28.8,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highcpu-64,64,57.6,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highcpu-96,96,86.4,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highmem-2,2,13,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highmem-4,4,26,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highmem-8,8,52,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highmem-16,16,104,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highmem-32,32,208,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highmem-64,64,416,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
n1-highmem-96,96,624,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
f1-micro,0.2,0.6,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
g1-small,0.5,1.7,Balanced price/performance across a wide range of machine types,"Medium traffic web and app servers, Containerized microservices, Business intelligence apps, Virtual desktops, CRM applications, Development and test environments, Batch processing, Storage and archive"
c4-standard-2,2,7,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-4,4,15,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-8,8,30,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-16,16,60,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-24,24,90,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-32,32,120,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-48,48,180,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-96,96,360,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-144,144,540,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-192,192,720,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-standard-288,288,1080,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-2,2,4,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-4,4,8,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-8,8,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-16,16,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-24,24,48,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-32,32,64,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-48,48,96,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-96,96,192,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-144,144,288,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-192,192,384,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highcpu-288,288,576,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-2,2,15,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-4,4,31,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-8,8,62,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-16,16,124,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-24,24,186,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-32,32,248,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-48,48,372,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-96,96,744,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-144,144,1116,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-192,192,1488,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4-highmem-288,288,2232,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-1,1,4,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-2,2,8,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-4,4,16,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-8,8,32,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
c4a-standard-16,16,64,Consistently high performance for a variety of workloads,"High traffic web, app and ad servers, Databases and caches, Game servers, Data analytics, Media streaming and transcoding, Network appliances, CPU-based ML training and inference"
